Site,Server,Satis,Alis
sonteklif.com,ZERO,435,399
sonteklif.com,FELIS,250,220
sonteklif.com,AGARTHA,398,365
sonteklif.com,PANDORA,335,315
sonteklif.com,DRYADS,230,195
sonteklif.com,DESTAN,425,370
sonteklif.com,MINARK,290,250
sonteklif.com,OREADS,325,285
bynogame.com,ZERO,443.99,400
bynogame.com,FELIS,250.99,234
bynogame.com,AGARTHA,410.99,375
bynogame.com,PANDORA,346.99,304
bynogame.com,DRYADS,224.99,195
bynogame.com,DESTAN,426.99,380
bynogame.com,MINARK,284.99,260
bynogame.com,OREADS,323.99,282
kopazar.com,ZERO,435,405
kopazar.com,FELIS,255,230
kopazar.com,AGARTHA,398,370
kopazar.com,PANDORA,335,315
kopazar.com,DRYADS,225,200
kopazar.com,DESTAN,420,392
kopazar.com,MINARK,285,260
kopazar.com,OREADS,325,300
oyuneks.com,ZERO,433,380
oyuneks.com,FELIS,250,223
oyuneks.com,AGARTHA,398,378
oyuneks.com,PANDORA,338,308
oyuneks.com,DRYADS,223,200
oyuneks.com,DESTAN,423,370
oyuneks.com,MINARK,280,255
oyuneks.com,OREADS,315,270
gamesatis.com,ZERO,439.1,308.7
gamesatis.com,FELIS,254.3,211.1
gamesatis.com,AGARTHA,403.8,301.8
gamesatis.com,PANDORA,338.1,239.9
gamesatis.com,DRYADS,234.6,178.8
gamesatis.com,DESTAN,437.8,339.3
gamesatis.com,MINARK,295.8,204.7
gamesatis.com,OREADS,334.8,236.1
bursagb.com,ZERO,430,405
bursagb.com,FELIS,255,220
bursagb.com,AGARTHA,400,375
bursagb.com,PANDORA,335,315
bursagb.com,DRYADS,223,170
bursagb.com,DESTAN,425,395
bursagb.com,MINARK,280,255
bursagb.com,OREADS,320,285
oyunfor.com,ZERO,440,400
oyunfor.com,FELIS,260,215
oyunfor.com,AGARTHA,415,365
oyunfor.com,PANDORA,345,285
oyunfor.com,DRYADS,230,195
oyunfor.com,DESTAN,425,390
oyunfor.com,MINARK,292,255
oyunfor.com,OREADS,325,285
klasgame.com,ZERO,459,360
klasgame.com,FELIS,298.5,200
klasgame.com,AGARTHA,418,350
klasgame.com,PANDORA,349.5,275
klasgame.com,DRYADS,276,180
klasgame.com,DESTAN,445,367
klasgame.com,MINARK,317.5,237
klasgame.com,OREADS,336,280
